mediaid,name,harmonized_media,reported_media,reported_species
2005,usda_nrp,NA,liver,animal-cattle-steer/heifer carcass sponge
2006,usda_nrp,NA,kidney,animal-goat
2008,usda_nrp,NA,kidney,animal-cattle-steer/heifer carcass sponge
2009,usda_nrp,NA,liver,animal-goat
2010,usda_nrp,NA,liver,animal-calf-non formula-fed veal
2014,usda_nrp,NA,kidney,animal-swine-roaster swine
2016,usda_nrp,NA,liver,animal-swine-roaster swine
2018,usda_nrp,NA,kidney,animal-swine-boar/stag swine
2019,usda_nrp,NA,kidney,animal-sheep-mature sheep
2021,usda_nrp,NA,liver,animal-sheep-lamb
